"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"0","5255.927734375","5255.927734375","5255.927734375"
"4","5981.7958984375","5981.7958984375","5981.7958984375"
"5","3742.903076171875","3742.903076171875","3742.903076171875"
"9","4782.4697265625","4782.4697265625","4782.4697265625"
"11","4817.7783203125","4817.7783203125","4817.7783203125"
"14","5803.2373046875","5803.2373046875","5803.2373046875"
"16","5328.6884765625","5328.6884765625","5328.6884765625"
"17","5151.78466796875","5151.78466796875","5151.78466796875"
"18","4247.24072265625","4247.24072265625","4247.24072265625"
"19","5076.92041015625","5076.92041015625","5076.92041015625"
"21","6012.79345703125","6012.79345703125","6012.79345703125"
"25","3625.074951171875","3625.074951171875","3625.074951171875"
"26","4200.85498046875","4200.85498046875","4200.85498046875"
"33","4555.73779296875","4555.73779296875","4555.73779296875"
"34","4079.8583984375","4079.8583984375","4079.8583984375"
"35","4058.66015625","4058.66015625","4058.66015625"
"36","2957.06884765625","2957.06884765625","2957.06884765625"
"39","4502.85546875","4502.85546875","4502.85546875"
"42","6258.17041015625","6258.17041015625","6258.17041015625"
"44","4845.556640625","4845.556640625","4845.556640625"
"46","5302.771484375","5302.771484375","5302.771484375"
"48","5487.15869140625","5487.15869140625","5487.15869140625"
"50","5050.71630859375","5050.71630859375","5050.71630859375"
"51","4530.92041015625","4530.92041015625","4530.92041015625"
"52","3269.671875","3269.671875","3269.671875"
"56","4999.96875","4999.96875","4999.96875"
"57","3823.2109375","3823.2109375","3823.2109375"
"58","3140.882568359375","3140.882568359375","3140.882568359375"
"59","5583.8427734375","5583.8427734375","5583.8427734375"
"62","6983.2109375","6983.2109375","6983.2109375"
"63","3062.948486328125","3062.948486328125","3062.948486328125"
"66","6544.8330078125","6544.8330078125","6544.8330078125"
"68","3779.86669921875","3779.86669921875","3779.86669921875"
"70","6040.55517578125","6040.55517578125","6040.55517578125"
"71","6247.35302734375","6247.35302734375","6247.35302734375"
"72","4325.50634765625","4325.50634765625","4325.50634765625"
"73","5593.1787109375","5593.1787109375","5593.1787109375"
"74","5579.37255859375","5579.37255859375","5579.37255859375"
"76","3993.333984375","3993.333984375","3993.333984375"
"77","5727.8564453125","5727.8564453125","5727.8564453125"
"79","3648.748291015625","3648.748291015625","3648.748291015625"
"82","3353.0576171875","3353.0576171875","3353.0576171875"
"83","2599.558349609375","2599.558349609375","2599.558349609375"
"87","4463.75927734375","4463.75927734375","4463.75927734375"
"88","5001.4365234375","5001.4365234375","5001.4365234375"
"91","4959.197265625","4959.197265625","4959.197265625"
"93","5025.48046875","5025.48046875","5025.48046875"
"94","4222.44921875","4222.44921875","4222.44921875"
"96","4172.88916015625","4172.88916015625","4172.88916015625"
"99","3804.395263671875","3804.395263671875","3804.395263671875"
"102","4093.88525390625","4093.88525390625","4093.88525390625"
"105","6333.5869140625","6333.5869140625","6333.5869140625"
"107","2875.79052734375","2875.79052734375","2875.79052734375"
"108","4670.35693359375","4670.35693359375","4670.35693359375"
"117","2680.78271484375","2680.78271484375","2680.78271484375"
"118","3715.388427734375","3715.388427734375","3715.388427734375"
"121","4201.3134765625","4201.3134765625","4201.3134765625"
"123","4079.17529296875","4079.17529296875","4079.17529296875"
"125","4903.63525390625","4903.63525390625","4903.63525390625"
"127","4335.85400390625","4335.85400390625","4335.85400390625"
"135","3567.735107421875","3567.735107421875","3567.735107421875"
"136","4947.2802734375","4947.2802734375","4947.2802734375"
"138","4300.78857421875","4300.78857421875","4300.78857421875"
"139","4484.88916015625","4484.88916015625","4484.88916015625"
"142","5054.3623046875","5054.3623046875","5054.3623046875"
"143","7500.79931640625","7500.79931640625","7500.79931640625"
"145","4147.296875","4147.296875","4147.296875"
"146","3891.33935546875","3891.33935546875","3891.33935546875"
"148","3165.3681640625","3165.3681640625","3165.3681640625"
"149","5241.03173828125","5241.03173828125","5241.03173828125"
