"trainer/global_step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","pretraining - _step","pretraining - _step__MIN","pretraining - _step__MAX"
"9","490.21453857421875","490.21453857421875","490.21453857421875","0","0","0"
"39","91.8610610961914","91.8610610961914","91.8610610961914","3","3","3"
"49","100.62569427490234","100.62569427490234","100.62569427490234","4","4","4"
"59","74.63839721679688","74.63839721679688","74.63839721679688","5","5","5"
"99","72.58196258544922","72.58196258544922","72.58196258544922","9","9","9"
"119","83.71945190429688","83.71945190429688","83.71945190429688","11","11","11"
"149","110.11881256103516","110.11881256103516","110.11881256103516","14","14","14"
"169","86.50595092773438","86.50595092773438","86.50595092773438","16","16","16"
"179","151.9051971435547","151.9051971435547","151.9051971435547","17","17","17"
"189","68.5978012084961","68.5978012084961","68.5978012084961","18","18","18"
"199","101.76631164550781","101.76631164550781","101.76631164550781","19","19","19"
"219","81.09739685058594","81.09739685058594","81.09739685058594","21","21","21"
"259","55.081817626953125","55.081817626953125","55.081817626953125","25","25","25"
"269","52.08824157714844","52.08824157714844","52.08824157714844","26","26","26"
"339","86.60362243652344","86.60362243652344","86.60362243652344","33","33","33"
"349","49.32024383544922","49.32024383544922","49.32024383544922","34","34","34"
"359","46.74980926513672","46.74980926513672","46.74980926513672","35","35","35"
"369","34.05607986450195","34.05607986450195","34.05607986450195","36","36","36"
"399","66.55796813964844","66.55796813964844","66.55796813964844","39","39","39"
"429","133.76666259765625","133.76666259765625","133.76666259765625","42","42","42"
"449","66.98789978027344","66.98789978027344","66.98789978027344","44","44","44"
"459","38.04895782470703","38.04895782470703","38.04895782470703","45","45","45"
"469","118.8704833984375","118.8704833984375","118.8704833984375","46","46","46"
"489","73.35322570800781","73.35322570800781","73.35322570800781","48","48","48"
"509","64.65615844726562","64.65615844726562","64.65615844726562","50","50","50"
"519","53.50906753540039","53.50906753540039","53.50906753540039","51","51","51"
"529","34.74385452270508","34.74385452270508","34.74385452270508","52","52","52"
"569","67.65308380126953","67.65308380126953","67.65308380126953","56","56","56"
"579","76.04227447509766","76.04227447509766","76.04227447509766","57","57","57"
"589","45.395633697509766","45.395633697509766","45.395633697509766","58","58","58"
"599","79.24400329589844","79.24400329589844","79.24400329589844","59","59","59"
"629","123.88761901855469","123.88761901855469","123.88761901855469","62","62","62"
"639","41.285282135009766","41.285282135009766","41.285282135009766","63","63","63"
"669","114.681640625","114.681640625","114.681640625","66","66","66"
"689","71.6478042602539","71.6478042602539","71.6478042602539","68","68","68"
"709","131.11270141601562","131.11270141601562","131.11270141601562","70","70","70"
"719","131.98162841796875","131.98162841796875","131.98162841796875","71","71","71"
"729","52.70790481567383","52.70790481567383","52.70790481567383","72","72","72"
"739","81.75001525878906","81.75001525878906","81.75001525878906","73","73","73"
"749","97.83609008789062","97.83609008789062","97.83609008789062","74","74","74"
"769","88.24845123291016","88.24845123291016","88.24845123291016","76","76","76"
"779","66.8049087524414","66.8049087524414","66.8049087524414","77","77","77"
"799","45.29374694824219","45.29374694824219","45.29374694824219","79","79","79"
"829","72.89218139648438","72.89218139648438","72.89218139648438","82","82","82"
"839","36.7881965637207","36.7881965637207","36.7881965637207","83","83","83"
"879","65.03207397460938","65.03207397460938","65.03207397460938","87","87","87"
"889","83.11323547363281","83.11323547363281","83.11323547363281","88","88","88"
"919","76.67638397216797","76.67638397216797","76.67638397216797","91","91","91"
"939","115.23704528808594","115.23704528808594","115.23704528808594","93","93","93"
"949","68.33995056152344","68.33995056152344","68.33995056152344","94","94","94"
"969","67.30191802978516","67.30191802978516","67.30191802978516","96","96","96"
"999","59.05680847167969","59.05680847167969","59.05680847167969","99","99","99"
"1009","72.79747009277344","72.79747009277344","72.79747009277344","100","100","100"
"1029","74.52266693115234","74.52266693115234","74.52266693115234","102","102","102"
"1059","124.7240982055664","124.7240982055664","124.7240982055664","105","105","105"
"1079","36.54230499267578","36.54230499267578","36.54230499267578","107","107","107"
"1089","79.69549560546875","79.69549560546875","79.69549560546875","108","108","108"
"1179","40.90625762939453","40.90625762939453","40.90625762939453","117","117","117"
"1189","49.37294006347656","49.37294006347656","49.37294006347656","118","118","118"
"1219","60.64685821533203","60.64685821533203","60.64685821533203","121","121","121"
"1239","59.56532669067383","59.56532669067383","59.56532669067383","123","123","123"
"1259","103.22793579101562","103.22793579101562","103.22793579101562","125","125","125"
"1279","114.91059875488281","114.91059875488281","114.91059875488281","127","127","127"
"1359","52.40336608886719","52.40336608886719","52.40336608886719","135","135","135"
