"trainer/global_step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","pretraining - _step","pretraining - _step__MIN","pretraining - _step__MAX"
"9","1283.6048583984375","1283.6048583984375","1283.6048583984375","0","0","0"
"59","310.241943359375","310.241943359375","310.241943359375","5","5","5"
"99","505.7926940917969","505.7926940917969","505.7926940917969","9","9","9"
"119","503.38946533203125","503.38946533203125","503.38946533203125","11","11","11"
"149","822.5542602539062","822.5542602539062","822.5542602539062","14","14","14"
"169","539.8178100585938","539.8178100585938","539.8178100585938","16","16","16"
"179","527.8947143554688","527.8947143554688","527.8947143554688","17","17","17"
"189","233.05789184570312","233.05789184570312","233.05789184570312","18","18","18"
"199","437.8881530761719","437.8881530761719","437.8881530761719","19","19","19"
"219","552.7474975585938","552.7474975585938","552.7474975585938","21","21","21"
"259","174.841064453125","174.841064453125","174.841064453125","25","25","25"
"269","143.24227905273438","143.24227905273438","143.24227905273438","26","26","26"
"339","111.60054016113281","111.60054016113281","111.60054016113281","33","33","33"
"349","61.758453369140625","61.758453369140625","61.758453369140625","34","34","34"
"359","105.66044616699219","105.66044616699219","105.66044616699219","35","35","35"
"369","33.415504455566406","33.415504455566406","33.415504455566406","36","36","36"
"399","147.6616973876953","147.6616973876953","147.6616973876953","39","39","39"
"429","219.3607177734375","219.3607177734375","219.3607177734375","42","42","42"
"449","155.33251953125","155.33251953125","155.33251953125","44","44","44"
"469","316.2651672363281","316.2651672363281","316.2651672363281","46","46","46"
"489","256.6875915527344","256.6875915527344","256.6875915527344","48","48","48"
"509","115.55134582519531","115.55134582519531","115.55134582519531","50","50","50"
"519","68.82040405273438","68.82040405273438","68.82040405273438","51","51","51"
"529","44.72578811645508","44.72578811645508","44.72578811645508","52","52","52"
"569","77.61417388916016","77.61417388916016","77.61417388916016","56","56","56"
"589","119.37801361083984","119.37801361083984","119.37801361083984","58","58","58"
"599","182.01409912109375","182.01409912109375","182.01409912109375","59","59","59"
"629","130.83013916015625","130.83013916015625","130.83013916015625","62","62","62"
"639","39.96981430053711","39.96981430053711","39.96981430053711","63","63","63"
"669","241.60748291015625","241.60748291015625","241.60748291015625","66","66","66"
"689","55.34560775756836","55.34560775756836","55.34560775756836","68","68","68"
"709","168.75888061523438","168.75888061523438","168.75888061523438","70","70","70"
"719","172.54104614257812","172.54104614257812","172.54104614257812","71","71","71"
"729","58.62439727783203","58.62439727783203","58.62439727783203","72","72","72"
"739","174.70172119140625","174.70172119140625","174.70172119140625","73","73","73"
"749","104.87217712402344","104.87217712402344","104.87217712402344","74","74","74"
"769","86.28797912597656","86.28797912597656","86.28797912597656","76","76","76"
"779","143.02676391601562","143.02676391601562","143.02676391601562","77","77","77"
"799","64.69491577148438","64.69491577148438","64.69491577148438","79","79","79"
"829","105.98882293701172","105.98882293701172","105.98882293701172","82","82","82"
"839","37.69563293457031","37.69563293457031","37.69563293457031","83","83","83"
"879","88.17769622802734","88.17769622802734","88.17769622802734","87","87","87"
"889","99.25025939941406","99.25025939941406","99.25025939941406","88","88","88"
"919","67.94337463378906","67.94337463378906","67.94337463378906","91","91","91"
"949","188.777099609375","188.777099609375","188.777099609375","94","94","94"
"969","84.759765625","84.759765625","84.759765625","96","96","96"
"999","103.82666015625","103.82666015625","103.82666015625","99","99","99"
"1029","99.11955261230469","99.11955261230469","99.11955261230469","102","102","102"
"1059","98.33111572265625","98.33111572265625","98.33111572265625","105","105","105"
"1079","36.84648513793945","36.84648513793945","36.84648513793945","107","107","107"
"1179","41.576271057128906","41.576271057128906","41.576271057128906","117","117","117"
"1189","84.22632598876953","84.22632598876953","84.22632598876953","118","118","118"
"1219","108.04088592529297","108.04088592529297","108.04088592529297","121","121","121"
"1239","76.94363403320312","76.94363403320312","76.94363403320312","123","123","123"
"1259","71.5333480834961","71.5333480834961","71.5333480834961","125","125","125"
"1279","178.2145233154297","178.2145233154297","178.2145233154297","127","127","127"
"1359","98.6090087890625","98.6090087890625","98.6090087890625","135","135","135"
"1369","192.69387817382812","192.69387817382812","192.69387817382812","136","136","136"
"1389","90.50267028808594","90.50267028808594","90.50267028808594","138","138","138"
"1399","78.41143798828125","78.41143798828125","78.41143798828125","139","139","139"
"1429","71.80570983886719","71.80570983886719","71.80570983886719","142","142","142"
"1439","344.35888671875","344.35888671875","344.35888671875","143","143","143"
"1459","75.57133483886719","75.57133483886719","75.57133483886719","145","145","145"
"1489","45.85185623168945","45.85185623168945","45.85185623168945","148","148","148"
"1499","102.81182861328125","102.81182861328125","102.81182861328125","149","149","149"
"1509","56.42852783203125","56.42852783203125","56.42852783203125","150","150","150"
"1529","40.97779846191406","40.97779846191406","40.97779846191406","152","152","152"
"1539","79.94895935058594","79.94895935058594","79.94895935058594","153","153","153"
"1549","206.6566162109375","206.6566162109375","206.6566162109375","154","154","154"
"1569","35.78240966796875","35.78240966796875","35.78240966796875","156","156","156"
"1579","73.10479736328125","73.10479736328125","73.10479736328125","157","157","157"
